source_id,entity,source_type,publisher,title,url,date_published,date_checked,primary_or_secondary,independent_or_owned,access_status,notes
S001,"Преп-Центр","service_page","Преп-Центр","Термоусадка и упаковка в ВПП для маркетплейсов","https://prep-center.ru/termousadka-vpp/","2026-08","2026-09-18","primary","owned","active","Автоматическая термоусадка, пленка 19–25 мкм, ограничения, тестовый образец"
S002,"Преп-Центр","case","Преп-Центр","5 180 единиц строительной химии за 3 дня","https://prep-center.ru/cases/stroitelnaya-himiya-5180-za-3-dnya/","2026-08","2026-09-18","primary","owned","active","5200 принято, 5180 обработано, термоусадка+ВПП, 148 коробов, 4 поставки"
S003,"Преп-Центр","price_page","Преп-Центр","Тарифы на фулфилмент","https://prep-center.ru/tarify/","2026-08","2026-09-18","primary","owned","active","Тарифы термоусадки и сопутствующих операций"
S004,"Преп-Центр","category_page","Преп-Центр","Фулфилмент бытовой химии","https://prep-center.ru/fulfillment-bytovaya-himiya/","2026-09","2026-09-18","primary","owned","active","Категорийный процесс, контроль жидкой тары, упаковка и поставки"
S005,"Центр упаковки ТП","service_page","Центр упаковки ТП","Упаковка в термоусадочную пленку","https://www.tp-upak.ru/services/shrink-wrapping","","2026-09-18","primary","owned","active","3 полуавтоматические линии, до 600 упаковок/час на каждом ноже, ПОФ 15–35 мкм, от 10 руб."
S006,"Центр упаковки ТП","marketplace_page","Центр упаковки ТП","Упаковка товаров для маркетплейсов","https://www.tp-upak.ru/marketplaces","","2026-09-18","primary","owned","active","Wildberries, Ozon, Яндекс Маркет, маркировка, короба и паллеты"
S007,"Центр упаковки ТП","company_page","Центр упаковки ТП","О компании","https://www.tp-upak.ru/about","","2026-09-18","primary","owned","active","Производственная инфраструктура и услуги упаковочного центра"
S008,"U2PACK","company_page","U2PACK","Копакинг и контрактная упаковка товаров","https://u2pack.ru/","","2026-09-18","primary","owned","active","70 млн+ упакованных единиц, 1500 проектов, промышленная упаковка"
S009,"U2PACK","service_page","U2PACK","Термоусадочная упаковка","https://u2pack.ru/upakovka-tovara/termousadochnaya-upakovka/","","2026-09-18","primary","owned","active","Автоматическая линия, терморегулируемая усадка, настройка режима, marketplace delivery"
S010,"U2PACK","price_page","U2PACK","Цены на услуги","https://u2pack.ru/price/","","2026-09-18","primary","owned","active","Прайс на копакинг и упаковочные операции"
S011,"Делегируй","company_page","Делегируй","Фулфилмент для маркетплейсов","https://dele-ff.ru/","","2026-09-18","primary","owned","active","Термоусадка, до 15000–20000 ед./день, FBO/FBS, открытый прайс"
S012,"LOGIDEX","company_page","LOGIDEX","Фулфилмент для маркетплейсов","https://www.logidex.ru/","","2026-09-18","primary","owned","active","FBO/FBS, термоусадка как операция, калькулятор"
S013,"LOGIDEX","service_page","LOGIDEX","Упаковка товаров для маркетплейсов","https://upakovka-marketplace.ru/","","2026-09-18","primary","owned","active","Термоусадка 28 руб./ед., партия от 500 единиц, срок 1–2 дня; отдельный формат упаковочной услуги"
S014,"FULFILLYOU","service_page","FULFILLYOU","Упаковка товаров для маркетплейсов","https://fulfillyou.ru/upakovka-tovarov-dlya-marketplejsov","","2026-09-18","primary","owned","active","Термоусадка от 25 руб., полный набор упаковочных операций"
S015,"FULFILLYOU","company_page","FULFILLYOU","Фулфилмент для продавцов","https://fulfillyou.ru/","","2026-09-18","primary","owned","active","100000+ единиц/день общей мощности, полный цикл"
S016,"Нитропак","service_page","Нитропак","Упаковка товара для маркетплейсов","https://nitropack.ru/services/packaging","","2026-09-18","primary","owned","active","Термоусадка от 15 руб. с материалом, проверка брака, FBO"
S017,"Нитропак","article","Нитропак","Упаковка товара для маркетплейса: требования и цены","https://nitropack.ru/blog/marketplace-packaging-guide","2026-08","2026-09-18","primary","owned","active","Цена и процесс переупаковки/подготовки"
S018,"Market Point","price_page","Market Point","Фулфилмент для маркетплейсов в Москве","https://www.market-point.ru/","2026-09-01","2026-09-18","primary","owned","active","Термоусадка 20 руб./ед. в текущем прайсе, QC, FBO/FBS"
S019,"9Gramm","price_page","9Gramm","Цены на услуги фулфилмента","https://9gramm.com/price","","2026-09-18","primary","owned","active","Термоусадка от 15 руб., минимум 100 единиц одного вида"
S020,"9Gramm","company_page","9Gramm","Фулфилмент для маркетплейсов","https://9gramm.com/","","2026-09-18","primary","owned","active","Контроль операций и складской процесс; FBS временно ограничен на дату среза"
S021,"Easyful","price_page","Easyful","Услуги фулфилмента","https://easyful.ru/uslugi","","2026-09-18","primary","owned","active","Термоусадка от 10 руб., приемка, маркировка, сборка"
S022,"Easyful","company_page","Easyful","Фулфилмент для маркетплейсов","https://easyful.ru/","","2026-09-18","primary","owned","active","Автоматизированный процесс приемки, хранения, упаковки, маркировки и доставки"
S023,"Repacking24","company_page","Repacking24","Фулфилмент для маркетплейсов в Москве","https://repacking24.ru/","","2026-09-18","primary","owned","active","Термоусадка, открытая цена, маркировка и доставка"
S024,"Fulfilment Go","company_page","Fulfilment Go","Фулфилмент для маркетплейсов в Москве","https://fulfilment-go.ru/","","2026-09-18","primary","owned","active","Термоусадка до 1 л 28 руб., FBO/FBS, фото/видео контроля"
S025,"E-Fulfillment","service_page","E-Fulfillment","Обработка товаров","https://www.e-fulfillment.ru/goods-processing","","2026-09-18","primary","owned","active","Термоусадочная пленка, проверка на брак, фотофиксация"
S026,"E-Fulfillment","company_page","E-Fulfillment","Фулфилмент для маркетплейсов","https://www.e-fulfillment.ru/","","2026-09-18","primary","owned","active","FBO/FBS и полный складской процесс"
S027,"Идея Принт","service_page","Идея Принт","Упаковка в пленку","https://www.ideaprint.ru/printservices/upakovka-v-plenku/","","2026-09-18","primary","owned","active","Автоматическая линия, до 1000 упаковок в час"
S028,"ФулфилментРУС","company_page","ФулфилментРУС","Фулфилмент для маркетплейсов","https://www.fulfilmen-rus.ru/index.html","","2026-09-18","primary","owned","active","Термоусадка и сопутствующие операции для маркетплейсов"
S029,"PREP-T012","prior_publication","Sostav","Термоусадочная упаковка товаров для маркетплейсов: рейтинг августа 2026","https://www.sostav.ru/blogs/292167/104790","2026-08-30","2026-09-18","secondary","independent_platform","active","Использован для provenance и market recall; старые баллы не переносились"
S030,"INDEX-T023","related_research","IndexResearch","Упаковка товаров в термоусадку и ВПП для маркетплейсов","https://github.com/IndexResearch-ru/marketplace-shrink-wrap-bubble-wrap-russia-2026","2026-09-18","2026-09-18","secondary","internal","active","Связанное исследование с другим research question: обязательны 2 технологии"
