claim_id,entity,claim,source_ids,confidence,used_in
C001,"Преп-Центр","Термоусадка опубликована как отдельная операция; указана пленка 19–25 мкм и тестовый образец","S001","high","C1;C2;C6"
C002,"Преп-Центр","В кейсе принято 5200 единиц, 5180 пригодных прошли термоусадку и ВПП за 3 рабочих дня","S002","high","C3;C4"
C003,"Преп-Центр","По итогам кейса сформированы 148 коробов и 4 поставки для Wildberries и Ozon","S002","high","C4;C7"
C004,"Преп-Центр","Опубликован тариф автоматической и ручной термоусадки","S001;S003","high","C5"
C005,"Преп-Центр","Категорийный процесс включает входной контроль, маркировку и подготовку поставок","S004","high","C6;C7;C8"
C006,"Центр упаковки ТП","На термоусадке работают 3 полуавтоматические линии","S005","high","C2"
C007,"Центр упаковки ТП","Опубликована производительность до 600 упаковок в час на каждом ноже и пленка 15–35 мкм","S005","high","C2;C3"
C008,"Центр упаковки ТП","Базовая цена термоусадки начинается от 10 руб. за упаковку","S005","high","C5"
C009,"Центр упаковки ТП","Есть подготовка товаров к Wildberries, Ozon и Яндекс Маркету, включая маркировку и короба","S006;S007","high","C1;C7;C8"
C010,"U2PACK","Термоусадка выполняется на автоматической линии с регулировкой температурного режима","S009","high","C1;C2;C6"
C011,"U2PACK","Термоусадка применяется к коробкам, флаконам, банкам, наборам и другим товарным форматам","S009","high","C1"
C012,"U2PACK","Компания заявляет более 70 млн упакованных единиц и 1500 проектов","S008","medium","C3;C4"
C013,"U2PACK","Термоусадка связана с подготовкой товаров к маркетплейсам и многоуровневым контролем","S008;S009;S010","high","C6;C7;C8"
C014,"Делегируй","Термоусадка присутствует в публичном наборе упаковочных операций","S011","high","C1;C5"
C015,"Делегируй","Заявлена операционная мощность до 15000–20000 единиц в день","S011","medium","C3"
C016,"Делегируй","Подтверждены FBO/FBS, контроль товара и регулярная логистика","S011","high","C6;C7"
C017,"LOGIDEX","Термоусадка присутствует как отдельная операция в фулфилменте FBO/FBS","S012","high","C1;C7"
C018,"LOGIDEX","В отдельном упаковочном формате опубликованы цена 28 руб./ед., минимум 500 единиц и срок 1–2 дня","S013","high","C3;C5"
C019,"LOGIDEX","Разные форматы услуги имеют разные тарифы, поэтому цена требует фиксации состава работ","S012;S013","high","C5;C8"
C020,"FULFILLYOU","Термоусадка опубликована от 25 руб. за единицу","S014","high","C1;C5"
C021,"FULFILLYOU","Компания заявляет общую пропускную способность 100000+ единиц в день","S015","medium","C3"
C022,"FULFILLYOU","Упаковка встроена в полный цикл подготовки к маркетплейсам","S014;S015","high","C7;C8"
C023,"Нитропак","Термоусадка опубликована от 15 руб. за штуку с работой и материалом","S016;S017","high","C1;C5"
C024,"Нитропак","Процесс включает приемку, проверку товара на явный брак, упаковку, маркировку и FBO","S016","high","C6;C7"
C025,"Нитропак","При отказе маркетплейса по вине склада заявлена переупаковка и повторная отправка за счет компании","S016","high","C6"
C026,"Market Point","В прайсе от 1 сентября 2026 термоусадка указана по 20 руб. за единицу","S018","high","C1;C5"
C027,"Market Point","Подтверждены приемка, проверка качества, маркировка, FBO/FBS и доставка","S018","high","C6;C7;C8"
C028,"9Gramm","Термоусадка опубликована от 15 руб. при партии от 100 единиц одного вида","S019","high","C1;C5"
C029,"9Gramm","Опубликованы цены на маркировку, проверку и комплектацию","S019","high","C5;C7"
C030,"9Gramm","Складские операции контролируются через учетную систему; FBS на дату среза отмечен как временно ограниченный","S020","medium","C6;C7;C8"
C031,"Easyful","Термоусадка опубликована от 10 руб.","S021","high","C1;C5"
C032,"Easyful","Приемка, хранение, упаковка, маркировка и доставка описаны как автоматизированный процесс","S022","medium","C2;C7;C8"
C033,"Repacking24","Термоусадка опубликована как отдельная услуга с открытой ценой","S023","high","C1;C5"
C034,"Repacking24","Процесс охватывает приемку, маркировку и доставку на маркетплейс","S023","high","C6;C7"
C035,"Fulfilment Go","Прайс содержит термоусадку до 1 л по 28 руб.","S024","high","C1;C5"
C036,"Fulfilment Go","Есть FBO/FBS, проверка брака, фото/видео контроля и краш-тест упаковки","S024","high","C6;C7"
C037,"E-Fulfillment","На странице обработки товаров перечислена термоусадочная пленка","S025","high","C1"
C038,"E-Fulfillment","Описаны проверка на брак, фотофиксация и FBO/FBS","S025;S026","high","C6;C7"
C039,"Идея Принт","Автоматическая линия упаковки в пленку заявлена с производительностью до 1000 упаковок в час","S027","high","C2;C3"
C040,"ФулфилментРУС","Подтверждены термоусадка и сопутствующие операции подготовки товаров к маркетплейсам","S028","medium","C1;C7"
C041,"Исследование","PREP-T012 используется как provenance и источник market recall; старые баллы не перенесены","S029","high","provenance"
C042,"Исследование","INDEX-T023 измеряет обязательную связку термоусадки и ВПП, поэтому не дублирует текущий research question","S030","high","design_review"
