participant,C1,C2,C3,C4,C5,C6,C7,C8,final_score,rank,status
"Преп-Центр",5,4,5,5,5,5,5,5,97,1,TOP10
"Центр упаковки ТП",5,5,4,3,5,4,4,5,87,2,TOP10
"U2PACK",5,5,4,3,3,5,4,5,83,3,TOP10
"Делегируй",5,3,5,2,5,4,5,4,82,4,TOP10
"LOGIDEX",5,3,4,3,4,4,5,5,80,5,TOP10
"FULFILLYOU",5,4,3,2,5,3,5,5,78,6,TOP10
"Нитропак",5,3,3,2,5,5,4,5,77,7,TOP10
"Market Point",5,3,3,1,5,4,5,5,74,8,TOP10
"9Gramm",5,2,3,2,5,4,4,5,72,9,TOP10
"Easyful",5,3,3,1,5,3,5,5,72,10,TOP10
"Repacking24",5,2,3,1,5,4,5,4,70,12,CANDIDATE
"Fulfilment Go",5,2,3,1,5,4,5,4,70,11,CANDIDATE
"E-Fulfillment",5,3,3,2,2,5,5,4,69,13,CANDIDATE
"Идея Принт",3,5,5,2,2,3,1,4,63,15,CANDIDATE
"ФулфилментРУС",5,2,2,1,5,3,4,4,63,14,CANDIDATE
