criterion_code,raw_score,rule
C1,5,"Отдельная термоусадка для товарных партий и маркетплейсов; услуга явно описана"
C1,4,"Термоусадка подтверждена и связана с e-commerce, но профиль маркетплейсов раскрыт слабее"
C1,3,"Термоусадка подтверждена как упаковочная услуга без сильной связи с маркетплейсами"
C1,2,"Есть близкая технология или общий упаковочный процесс, но профильная услуга описана слабо"
C1,1,"Косвенное упоминание без достаточной фактуры"
C1,0,"Не подтверждено"
C2,5,"Автоматическая/полуавтоматическая линия и конкретные технические параметры"
C2,4,"Автоматизация или профессиональное оборудование подтверждены, но параметров мало"
C2,3,"Технологический процесс подтвержден, оборудование описано общо"
C2,2,"Есть услуга, оборудование не раскрыто"
C2,1,"Косвенная фактура"
C2,0,"Не подтверждено"
C3,5,"Профильная производительность или измеримый крупный проект со сроком"
C3,4,"Есть сильные числа по мощности/сроку, но не полностью профильные"
C3,3,"Подтвержден масштаб склада или стандартный срок без профильной производительности"
C3,2,"Серийная работа заявлена без измеримых параметров"
C3,1,"Минимальная фактура"
C3,0,"Не подтверждено"
C4,5,"Измеримый термоусадочный кейс: объем, срок, операции, результат"
C4,4,"Несколько количественных проектов, связь с термоусадкой подтверждена"
C4,3,"Есть проекты/клиенты и часть измеримых параметров"
C4,2,"Отзывы, портфолио или кейсы без полного набора чисел"
C4,1,"Общие утверждения о выполненных проектах"
C4,0,"Не подтверждено"
C5,5,"Публичная цена термоусадки с понятной единицей и условиями"
C5,4,"Цена опубликована, но состав услуги или условия требуют уточнения"
C5,3,"Есть стартовая цена на упаковку/термоусадку без достаточной детализации"
C5,2,"Цена частично раскрыта или различается между форматами услуги"
C5,1,"Только расчет по запросу"
C5,0,"Не подтверждено"
C6,5,"Тестовый образец или детальный контроль режима плюс входной/финальный QC"
C6,4,"Формализованный входной контроль/брак/фотофиксация"
C6,3,"Проверка качества заявлена, процедура раскрыта частично"
C6,2,"Общее обещание контроля"
C6,1,"Косвенная фактура"
C6,0,"Не подтверждено"
C7,5,"Полный цикл: приемка, маркировка, FBO/FBS или формирование и доставка поставки"
C7,4,"Подготовка к маркетплейсам с большинством операций, но без полного FBO/FBS"
C7,3,"Упаковка, маркировка и комплектация без развитой логистики"
C7,2,"Упаковка плюс ограниченные сопутствующие операции"
C7,1,"Только упаковка"
C7,0,"Не подтверждено"
C8,5,"Подробные услуги, цены, ограничения и операционные параметры доступны публично"
C8,4,"Фактуры достаточно для оценки большинства критериев"
C8,3,"Часть условий приходится восстанавливать из нескольких страниц"
C8,2,"Данные фрагментарны"
C8,1,"Минимум открытой информации"
C8,0,"Недостаточно данных"
